Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,RainToday
2026-04-01,6.3,26.7,0.0,,,,,12.8,87,,SE,9.0,1023.9,25.9,32,,NW,17.0,1022.1,No
2026-04-02,9.5,,0.0,,,,,14.5,85,,N,6.0,1025.1,27.4,32,,NW,19.0,1021.8,No
2026-04-03,7.6,25.0,0.0,,,E,41.0,13.6,88,,,,1023.9,24.4,38,,NE,13.0,1022.0,No
2026-04-04,11.6,17.3,0.0,,,ENE,28.0,13.2,81,8.0,NE,9.0,1027.2,15.8,67,8.0,NE,11.0,1025.9,No
2026-04-05,5.2,20.0,0.0,,,ENE,30.0,13.8,75,8.0,SSE,6.0,1027.8,17.6,57,3.0,NNE,11.0,1023.8,No
2026-04-06,4.6,17.3,0.0,,,NW,20.0,12.0,86,8.0,SSW,9.0,1021.5,16.8,81,8.0,W,9.0,1016.8,No
2026-04-07,6.9,25.2,4.0,,,WNW,48.0,17.2,81,,NNW,9.0,1013.7,24.3,36,,WNW,30.0,1011.1,Yes
2026-04-08,7.9,24.2,0.0,,,NNW,39.0,16.1,72,,E,4.0,1017.4,23.8,25,,W,24.0,1015.3,No
2026-04-09,7.9,26.6,0.0,,,WSW,59.0,18.0,51,,,,1018.9,25.2,44,7.0,NW,26.0,1015.0,No
2026-04-10,15.5,21.7,7.6,,,NW,63.0,18.1,80,8.0,NW,39.0,1012.8,20.5,65,8.0,NW,43.0,1009.8,Yes
2026-04-11,8.6,16.1,0.2,,,WNW,59.0,13.6,55,1.0,WNW,28.0,1010.5,14.7,40,1.0,WNW,26.0,1008.9,No
2026-04-12,6.1,15.1,0.0,,,WNW,54.0,12.0,51,,WNW,30.0,1010.1,12.5,48,1.0,WNW,33.0,1010.8,No
2026-04-13,2.9,19.1,0.0,,,NNW,37.0,12.5,62,,W,11.0,1018.9,18.9,49,,NNW,26.0,1017.4,No
2026-04-14,0.1,22.1,0.0,,,NNW,33.0,7.4,100,8.0,N,9.0,1022.4,21.2,38,,NNW,15.0,1018.1,No
2026-04-15,1.8,21.8,0.0,,,N,30.0,12.1,77,,E,4.0,1021.0,21.0,45,,NNW,19.0,1017.5,No
2026-04-16,2.8,22.2,0.0,,,NW,44.0,10.0,93,2.0,SSW,9.0,1019.8,21.0,46,2.0,NNW,31.0,1015.3,No
2026-04-17,3.8,,0.0,,,,,16.8,59,,NNW,19.0,1013.7,19.1,41,,NW,33.0,1012.0,No
